"text","intent","sentiment","priority"
"على فكرة، مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط وشكراً لتعاونكم","track_order","negative","high"
"مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط برجاء الإفادة","track_order","negative","high"
"لو سمحت، مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط برجاء الإفادة","track_order","negative","high"
"لو سمحت، مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط","track_order","negative","high"
"معلش، مبقتش عارف أعمل إيه، الاوردر متأخر جداً وأنا مضغوط برجاء الإفادة","track_order","negative","high"
"معلش، مبقتش عارف أعمل إيه، الأوردر متاخر جداً وأنا مضغوط وشكراً لتعاونكم","track_order","negative","high"
"على فكرة، مبقتش عارف أعمل إيه، الأوردر متاخر جداً وأنا مضغوط برجاء الإفادة","track_order","negative","high"
"لو سمحت، مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط وشكراً لتعاونكم","track_order","negative","high"
"من فضلك، مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط","track_order","negative","high"
"بجد مبقتش عارف أعمل إيه، الأوردر متاخر جداً وأنا مضغوط في انتظار ردكم","track_order","negative","high"
"مبقتش عارف أعمل إيه، الأوردر متأخر جداً وأنا مضغوط","track_order","negative","high"
"مبقتش عارف أعمل إيه، الاوردر متأخر جداً وأنا مضغوط ياريت حد يرد عليا","track_order","negative","high"
"معلش، الشحنة لسا في المخزن ولا خرجت للتوصيل؟ في انتظار ردكم","track_order","neutral","medium"
"بجد الشحنة لسا في المخزن ولا خرجت للتوصيل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"على فكرة، الشحنه لسه في المخزن ولا خرجت للتوصيل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"على فكرة، الشحنه لسه في المخزن ولا خرجت للتوصيل؟ في انتظار ردكم","track_order","neutral","medium"
"بجد الشحنه لسه في المخزن ولا خرجت للتوصيل؟ في انتظار ردكم","track_order","neutral","medium"
"بجد الشحنه لسه في المخزن ولا خرجت للتوصيل؟ ياريت حد يرد عليا","track_order","neutral","medium"
"من فضلك، الشحنه لسه في المخزن ولا خرجت للتوصيل؟ في انتظار ردكم","track_order","neutral","medium"
"لو سمحت، الشحنة لسه في المخزن ولا خرجت للتوصيل؟ ياريت حد يرد عليا","track_order","neutral","medium"
"من فضلك، الشحنة لسه في المخزن ولا خرجت للتوصيل؟ ياريت حد يرد عليا","track_order","neutral","medium"
"من فضلك، الشحنه لسه في المخزن ولا خرجت للتوصيل؟ وشكراً لتعاونكم","track_order","neutral","medium"
"لو سمحت، الشحنه لسه في المخزن ولا خرجت للتوصيل؟","track_order","neutral","medium"
"لو سمحت، الشحنة لسه في المخزن ولا خرجت للتوصيل؟ برجاء الإفادة","track_order","neutral","medium"
"ممكن أعرف حالة طلبي #1003؟ ياريت حد يرد عليا","track_order","neutral","medium"
"ممكن أعرف حالة طلبي #1001؟ وشكراً لتعاونكم","track_order","neutral","medium"
"لو سمحت، ممكن أعرف حالة طلبي #1003؟","track_order","neutral","medium"
"بجد ممكن أعرف حالة طلبي #1001؟ برجاء الإفادة","track_order","neutral","medium"
"لو سمحت، ممكن أعرف حالة طلبي #1002؟ وشكراً لتعاونكم","track_order","neutral","medium"
"من فضلك، ممكن أعرف حالة طلبي #1001؟ وشكراً لتعاونكم","track_order","neutral","medium"
"معلش، ممكن أعرف حالة طلبي #1002؟ ياريت حد يرد عليا","track_order","neutral","medium"
"على فكرة، ممكن أعرف حالة طلبي #1002؟ وشكراً لتعاونكم","track_order","neutral","medium"
"طب ممكن أعرف حالة طلبي #1002؟","track_order","neutral","medium"
"معلش، ممكن أعرف حالة طلبي #1001؟","track_order","neutral","medium"
"لو سمحت، ممكن أعرف حالة طلبي #1002؟ ياريت حد يرد عليا","track_order","neutral","medium"
"الطلب اتسلم بسرعة وده شيء يفرح في انتظار ردكم","track_order","positive","low"
"بجد الطلب اتسلم بسرعة وده شيء يفرح وشكراً لتعاونكم","track_order","positive","low"
"طب الطلب اتسلم بسرعة وده شيء يفرح برجاء الإفادة","track_order","positive","low"
"الطلب اتسلم بسرعة وده شيء يفرح","track_order","positive","low"
"لو سمحت، الطلب اتسلم بسرعة وده شيء يفرح","track_order","positive","low"
"على فكرة، الطلب اتسلم بسرعة وده شيء يفرح وشكراً لتعاونكم","track_order","positive","low"
"بجد الطلب اتسلم بسرعة وده شيء يفرح برجاء الإفادة","track_order","positive","low"
"من فضلك، الطلب اتسلم بسرعة وده شيء يفرح ياريت حد يرد عليا","track_order","positive","low"
"معلش، الطلب اتسلم بسرعة وده شيء يفرح ياريت حد يرد عليا","track_order","positive","low"
"من فضلك، الطلب اتسلم بسرعة وده شيء يفرح في انتظار ردكم","track_order","positive","low"
"من فضلك، الطلب اتسلم بسرعة وده شيء يفرح وشكراً لتعاونكم","track_order","positive","low"
"من فضلك، الطلب اتسلم بسرعة وده شيء يفرح برجاء الإفادة","track_order","positive","low"
"على فكرة، عادي لو اتاخر بس حابب أعرف الموعد التقريبي وشكراً لتعاونكم","track_order","neutral","low"
"طب عادي لو اتاخر بس حابب أعرف الموعد التقريبي برجاء الإفادة","track_order","neutral","low"
